,alignment,table,cause,effect,tau,lags,k,b,n_subsamples,statistic,paper_p,reproduced_p,difference,same_decision_5pct,same_decision_1pct
53,primary,table3,usdgbp,gold,0.10,3,5,129,3311,0.553806,0.006,0.0,-0.006,True,True
54,primary,table3,usdgbp,gold,0.50,1,3,77,3363,0.601276,0.004,0.023194,0.019194,True,False
55,primary,table3,usdgbp,gold,0.50,1,4,103,3337,0.601276,0.004,0.025472,0.021472,True,False
56,primary,table3,usdgbp,gold,0.50,1,5,129,3311,0.601276,0.004,0.051948,0.047948,False,False
57,primary,table3,usdgbp,gold,0.50,2,3,77,3363,0.434179,0.006,0.019923,0.013923,True,False
58,primary,table3,usdgbp,gold,0.50,2,4,103,3337,0.434179,0.006,0.012286,0.006286,True,False
59,primary,table3,usdgbp,gold,0.50,2,5,129,3311,0.434179,0.006,0.026578,0.020578,True,False
60,primary,table3,usdgbp,gold,0.50,3,3,77,3363,0.301604,0.007,0.084151,0.077151,False,False
61,primary,table3,usdgbp,gold,0.50,3,4,103,3337,0.301604,0.007,0.094696,0.087696,False,False
62,primary,table3,usdgbp,gold,0.50,3,5,129,3311,0.301604,0.007,0.111447,0.104447,False,False
63,primary,table3,usdgbp,gold,0.90,1,3,77,3363,1.374331,0.01,0.0,-0.01,True,False
64,primary,table3,usdgbp,gold,0.90,1,4,103,3337,1.374331,0.01,0.0,-0.01,True,False
65,primary,table3,usdgbp,gold,0.90,1,5,129,3311,1.374331,0.01,0.0,-0.01,True,False
66,primary,table3,usdgbp,gold,0.90,2,3,77,3363,0.96571,0.007,0.0,-0.007,True,True
67,primary,table3,usdgbp,gold,0.90,2,4,103,3337,0.96571,0.007,0.0,-0.007,True,True
68,primary,table3,usdgbp,gold,0.90,2,5,129,3311,0.96571,0.007,0.0,-0.007,True,True
69,primary,table3,usdgbp,gold,0.90,3,3,77,3363,0.521226,0.013,0.0,-0.013,True,False
70,primary,table3,usdgbp,gold,0.90,3,4,103,3337,0.521226,0.013,0.0,-0.013,True,False
71,primary,table3,usdgbp,gold,0.90,3,5,129,3311,0.521226,0.013,0.0,-0.013,True,False
144,gold_offset,table3,oil,gold,[0.10;0.90],1,3,77,3362,4.721112,0.0,0.0,0.0,True,True
145,gold_offset,table3,oil,gold,[0.10;0.90],1,4,103,3336,4.721112,0.0,0.0,0.0,True,True
146,gold_offset,table3,oil,gold,[0.10;0.90],1,5,129,3310,4.721112,0.0,0.0,0.0,True,True
147,gold_offset,table3,oil,gold,[0.10;0.90],2,3,77,3362,2.270753,0.0,0.0,0.0,True,True
148,gold_offset,table3,oil,gold,[0.10;0.90],2,4,103,3336,2.270753,0.0,0.0,0.0,True,True
