,alignment,table,cause,effect,tau,lags,k,b,n_subsamples,statistic,paper_p,reproduced_p,difference,same_decision_5pct,same_decision_1pct
72,primary,table4,gold,oil,[0.10;0.90],1,3,77,3363,2.82842,0.0,0.0,0.0,True,True
73,primary,table4,gold,oil,[0.10;0.90],1,4,103,3337,2.82842,0.0,0.0,0.0,True,True
74,primary,table4,gold,oil,[0.10;0.90],1,5,129,3311,2.82842,0.0,0.0,0.0,True,True
75,primary,table4,gold,oil,[0.10;0.90],2,3,77,3363,1.554864,0.0,0.0,0.0,True,True
76,primary,table4,gold,oil,[0.10;0.90],2,4,103,3337,1.554864,0.0,0.0,0.0,True,True
77,primary,table4,gold,oil,[0.10;0.90],2,5,129,3311,1.554864,0.0,0.0,0.0,True,True
78,primary,table4,gold,oil,[0.10;0.90],3,3,77,3363,0.882841,0.0,0.0,0.0,True,True
79,primary,table4,gold,oil,[0.10;0.90],3,4,103,3337,0.882841,0.0,0.0,0.0,True,True
80,primary,table4,gold,oil,[0.10;0.90],3,5,129,3311,0.882841,0.0,0.0,0.0,True,True
81,primary,table4,gold,oil,0.10,1,3,77,3363,0.807785,0.0,0.0,0.0,True,True
82,primary,table4,gold,oil,0.10,1,4,103,3337,0.807785,0.0,0.0,0.0,True,True
83,primary,table4,gold,oil,0.10,1,5,129,3311,0.807785,0.0,0.0,0.0,True,True
84,primary,table4,gold,oil,0.10,2,3,77,3363,0.591188,0.0,0.0,0.0,True,True
85,primary,table4,gold,oil,0.10,2,4,103,3337,0.591188,0.0,0.0,0.0,True,True
86,primary,table4,gold,oil,0.10,2,5,129,3311,0.591188,0.0,0.0,0.0,True,True
87,primary,table4,gold,oil,0.10,3,3,77,3363,0.357089,0.0,0.0,0.0,True,True
88,primary,table4,gold,oil,0.10,3,4,103,3337,0.357089,0.0,0.0,0.0,True,True
89,primary,table4,gold,oil,0.10,3,5,129,3311,0.357089,0.0,0.0,0.0,True,True
90,primary,table4,gold,oil,0.50,1,3,77,3363,0.182895,0.461,0.432055,-0.028945,True,True
91,primary,table4,gold,oil,0.50,1,4,103,3337,0.182895,0.461,0.418939,-0.042061,True,True
92,primary,table4,gold,oil,0.50,1,5,129,3311,0.182895,0.461,0.456358,-0.004642,True,True
93,primary,table4,gold,oil,0.50,2,3,77,3363,0.201359,0.345,0.529289,0.184289,True,True
94,primary,table4,gold,oil,0.50,2,4,103,3337,0.201359,0.345,0.555889,0.210889,True,True
95,primary,table4,gold,oil,0.50,2,5,129,3311,0.201359,0.345,0.56116,0.21616,True,True
96,primary,table4,gold,oil,0.50,3,3,77,3363,0.228229,0.384,0.505501,0.121501,True,True
97,primary,table4,gold,oil,0.50,3,4,103,3337,0.228229,0.384,0.502847,0.118847,True,True
98,primary,table4,gold,oil,0.50,3,5,129,3311,0.228229,0.384,0.490486,0.106486,True,True
99,primary,table4,gold,oil,0.90,1,3,77,3363,1.334694,0.0,0.0,0.0,True,True
100,primary,table4,gold,oil,0.90,1,4,103,3337,1.334694,0.0,0.0,0.0,True,True
101,primary,table4,gold,oil,0.90,1,5,129,3311,1.334694,0.0,0.0,0.0,True,True
102,primary,table4,gold,oil,0.90,2,3,77,3363,0.853499,0.0,0.0,0.0,True,True
103,primary,table4,gold,oil,0.90,2,4,103,3337,0.853499,0.0,0.0,0.0,True,True
104,primary,table4,gold,oil,0.90,2,5,129,3311,0.853499,0.0,0.0,0.0,True,True
105,primary,table4,gold,oil,0.90,3,3,77,3363,0.429922,0.0,0.0,0.0,True,True
106,primary,table4,gold,oil,0.90,3,4,103,3337,0.429922,0.0,0.0,0.0,True,True
107,primary,table4,gold,oil,0.90,3,5,129,3311,0.429922,0.0,0.0,0.0,True,True
108,primary,table4,usdgbp,oil,[0.10;0.90],1,3,77,3363,2.897626,0.0,0.0,0.0,True,True
109,primary,table4,usdgbp,oil,[0.10;0.90],1,4,103,3337,2.897626,0.0,0.0,0.0,True,True
110,primary,table4,usdgbp,oil,[0.10;0.90],1,5,129,3311,2.897626,0.0,0.0,0.0,True,True
111,primary,table4,usdgbp,oil,[0.10;0.90],2,3,77,3363,1.573877,0.0,0.0,0.0,True,True
112,primary,table4,usdgbp,oil,[0.10;0.90],2,4,103,3337,1.573877,0.0,0.0,0.0,True,True
113,primary,table4,usdgbp,oil,[0.10;0.90],2,5,129,3311,1.573877,0.0,0.0,0.0,True,True
114,primary,table4,usdgbp,oil,[0.10;0.90],3,3,77,3363,0.886561,0.0,0.0,0.0,True,True
115,primary,table4,usdgbp,oil,[0.10;0.90],3,4,103,3337,0.886561,0.0,0.0,0.0,True,True
116,primary,table4,usdgbp,oil,[0.10;0.90],3,5,129,3311,0.886561,0.0,0.0,0.0,True,True
117,primary,table4,usdgbp,oil,0.10,1,3,77,3363,0.93284,0.011,0.0,-0.011,True,False
118,primary,table4,usdgbp,oil,0.10,1,4,103,3337,0.93284,0.011,0.0,-0.011,True,False
119,primary,table4,usdgbp,oil,0.10,1,5,129,3311,0.93284,0.011,0.0,-0.011,True,False
120,primary,table4,usdgbp,oil,0.10,2,3,77,3363,0.685805,0.01,0.0,-0.01,True,False
121,primary,table4,usdgbp,oil,0.10,2,4,103,3337,0.685805,0.01,0.0,-0.01,True,False
122,primary,table4,usdgbp,oil,0.10,2,5,129,3311,0.685805,0.01,0.0,-0.01,True,False
123,primary,table4,usdgbp,oil,0.10,3,3,77,3363,0.401174,0.006,0.0,-0.006,True,True
124,primary,table4,usdgbp,oil,0.10,3,4,103,3337,0.401174,0.006,0.0,-0.006,True,True
125,primary,table4,usdgbp,oil,0.10,3,5,129,3311,0.401174,0.006,0.0,-0.006,True,True
126,primary,table4,usdgbp,oil,0.50,1,3,77,3363,0.212174,0.005,0.297948,0.292948,False,False
127,primary,table4,usdgbp,oil,0.50,1,4,103,3337,0.212174,0.005,0.314954,0.309954,False,False
128,primary,table4,usdgbp,oil,0.50,1,5,129,3311,0.212174,0.005,0.356086,0.351086,False,False
129,primary,table4,usdgbp,oil,0.50,2,3,77,3363,0.195266,0.006,0.559322,0.553322,False,False
130,primary,table4,usdgbp,oil,0.50,2,4,103,3337,0.195266,0.006,0.553491,0.547491,False,False
131,primary,table4,usdgbp,oil,0.50,2,5,129,3311,0.195266,0.006,0.585624,0.579624,False,False
132,primary,table4,usdgbp,oil,0.50,3,3,77,3363,0.233686,0.006,0.433244,0.427244,False,False
